Start,End,Duration,Observer,BV,TV,UV,MK,OS,BE,NH,SS,CH,NG,UA,RS,BW,SW,RT,RL,UB,GE,UE,AK,ML,PG,UF,UR,TOTAL,WindSpd,WindDir,Temp,CloudCover,Visibility,FlightDIR,FlightHT,SkyCode,Counter,Observer1,Observer2,Observer3,Observer4,HawkYear
'2018-12-18 14:00','2018-12-18 15:00',30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,3,315,-3,0,77,225,'1: Eye level to 30m','0: Clear','Rob Feldman',?,?,?,?,2018
'2018-12-18 13:00','2018-12-18 14:00',60,60,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,8.5,315,-2,1,77,225,'2: Unaided eye','0: Clear','Rob Feldman',?,?,?,?,2018
'2018-12-18 12:00','2018-12-18 13:00',60,60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,315,-2,3,77,225,'2: Unaided eye','0: Clear','Rob Feldman',?,?,?,?,2018
'2018-12-18 11:00','2018-12-18 12:00',40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,315,-2,5,77,?,(none),'0: Clear','Rob Feldman',?,?,?,?,2018
'2018-12-18 10:00','2018-12-18 11:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,315,-3,5,77,?,(none),'0: Clear','Rob Feldman',?,?,?,?,2018
'2018-12-18 09:00','2018-12-18 10:00',15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,315,-3,5,77,?,(none),'0: Clear','Rob Feldman',?,?,?,?,2018
'2018-12-15 15:00','2018-12-15 16:00',15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,45,6,100,15,?,?,'6:  Drizzle','Laurie Goodrich',?,?,?,?,2018
'2018-12-15 14:00','2018-12-15 15:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,45,7,100,15,?,?,'6:  Drizzle','Laurie Goodrich',?,?,?,?,2018
'2018-12-15 13:00','2018-12-15 14:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,22.5,8,100,12,?,?,'3: Overcast','Laurie Goodrich',?,?,?,?,2018
'2018-12-15 12:00','2018-12-15 13:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,90,8,100,?,?,?,'5: Fog or Dense Haze','Laurie Goodrich',?,?,?,?,2018
'2018-12-15 11:00','2018-12-15 12:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,67.5,8,100,5,?,?,'5: Fog or Dense Haze','Laurie Goodrich',?,?,?,?,2018
'2018-12-13 15:00','2018-12-13 16:00',15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,180,1,100,2,?,?,'4: wind driven sand; snow; dust','Jesse Amesbury',?,?,?,?,2018
'2018-12-13 14:00','2018-12-13 15:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,157.5,1,100,2,?,?,'4: wind driven sand; snow; dust','Jesse Amesbury',?,?,?,?,2018
'2018-12-13 13:00','2018-12-13 14:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,157.5,2,100,10,?,?,'3: Overcast','Jesse Amesbury',?,?,?,?,2018
'2018-12-13 12:00','2018-12-13 13:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,157.5,3,70,9,?,?,'2: Mostly Cloudy','Jesse Amesbury',?,?,?,?,2018
'2018-12-13 11:00','2018-12-13 12:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,157.5,1,75,9,?,?,'2: Mostly Cloudy','Jesse Amesbury',?,?,?,?,2018
'2018-12-13 10:00','2018-12-13 11:00',60,60,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.5,157.5,0,80,7,225,'1: Eye level to 30m','3: Overcast','Jesse Amesbury',?,?,?,?,2018
'2018-12-13 09:00','2018-12-13 10:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,157.5,-1,100,4,?,?,'3: Overcast','Jesse Amesbury',?,?,?,?,2018
'2018-12-13 08:15','2018-12-13 09:00',45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,157.5,-1,100,4,?,?,'3: Overcast','Jesse Amesbury',?,?,?,?,2018
'2018-12-12 15:00','2018-12-12 16:00',30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,315,0,95,13,?,?,'3: Overcast','David Barber',?,?,?,?,2018
'2018-12-12 14:00','2018-12-12 15:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,315,1,100,13,?,?,'3: Overcast','David Barber',?,?,?,?,2018
'2018-12-12 13:00','2018-12-12 14:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,3,315,1,80,13,225,'0: Below eye level','3: Overcast','David Barber',?,?,?,?,2018
'2018-12-12 12:00','2018-12-12 13:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,315,0,90,9,?,?,'5: Fog or Dense Haze','David Barber',?,?,?,?,2018
'2018-12-12 11:00','2018-12-12 12:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,315,-1,25,?,?,?,'5: Fog or Dense Haze','David Barber',?,?,?,?,2018
'2018-12-12 10:00','2018-12-12 11:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,?,-2,5,9,?,?,'5: Fog or Dense Haze','David Barber',?,?,?,?,2018
'2018-12-12 09:00','2018-12-12 10:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,315,-3,5,6,?,?,'5: Fog or Dense Haze','David Barber',?,?,?,?,2018
'2018-12-12 08:15','2018-12-12 09:00',45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,315,-3,10,5,?,?,'5: Fog or Dense Haze','David Barber',?,?,?,?,2018
'2018-12-11 15:00','2018-12-11 16:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,3,270,0,0,?,225,'1: Eye level to 30m',?,'Bill Moses',?,?,?,?,2018
'2018-12-11 14:00','2018-12-11 15:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,-3,0,10,?,(none),'0: Clear','Rob Feldman',?,?,?,?,2018
'2018-12-11 13:00','2018-12-11 14:00',60,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,?,-3,0,10,225,'1: Eye level to 30m','0: Clear','Rob Feldman',?,?,?,?,2018
'2018-12-11 12:00','2018-12-11 13:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-3,0,15,225,'1: Eye level to 30m','0: Clear','Rob Feldman',?,?,?,?,2018
'2018-12-11 11:00','2018-12-11 12:00',60,60,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,270,-3,0,10,225,'1: Eye level to 30m','0: Clear','Rob Feldman',?,?,?,?,2018
'2018-12-11 10:00','2018-12-11 11:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,-4,0,7,?,(none),'0: Clear','Rob Feldman',?,?,?,?,2018
'2018-12-11 09:00','2018-12-11 10:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,-5,0,7,?,(none),'0: Clear','Rob Feldman',?,?,?,?,2018
'2018-12-11 08:00','2018-12-11 09:00',30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,-7,0,5,?,(none),'0: Clear','Rob Feldman',?,?,?,?,2018
